id,actual_price,reco_price_low,reco_price_median,reco_price_high,band_width,n_neighbors_total,n_neighbors_high_demand,confidence,is_within_band,price_gap,avg_neighbor_distance,neighbourhood,room_type,accommodates,vibe_score
27336723,386.0,264.0,264.0,264.0,0.0,25,1,low,False,122.0,1.52903654255386,78754,Entire home/apt,8,30.7
11229234,1366.0,875.0,875.0,875.0,0.0,25,1,low,False,491.0,1.9257052212357197,78703,Entire home/apt,10,100.0
1174085497496274908,200.0,178.0,178.0,178.0,0.0,25,2,low,False,22.0,0.5693206039272635,78701,Private room,2,94.6
27519547,135.0,186.5,225.0,312.5,126.0,25,3,low,False,51.5,1.2473006678655028,78703,Entire home/apt,4,100.0
1004214815919731274,1600.0,226.0,252.0,1151.0,925.0,25,3,low,False,449.0,1.0463632764861963,78744,Entire home/apt,6,64.4
669753083519656188,336.0,160.0,215.0,310.0,150.0,25,0,very_low_fallback,False,26.0,1.1858122922317775,78701,Entire home/apt,8,94.6
23400546,359.0,916.75,1609.5,2302.25,1385.5,25,2,low,False,557.75,1.4055928380010914,78745,Entire home/apt,10,74.7
1315981776191934842,122.0,160.0,215.0,310.0,150.0,25,0,very_low_fallback,False,38.0,0.3396641287425879,78701,Entire home/apt,4,94.6
38429825,80.0,72.25,77.5,82.75,10.5,25,2,low,True,0.0,0.9161881562073388,78757,Entire home/apt,4,62.3
1227969196831377751,225.0,130.25,132.5,134.75,4.5,25,2,low,False,90.25,0.6807867985875221,78758,Entire home/apt,8,63.7
18547601,107.0,262.25,314.5,366.75,104.5,25,2,low,False,155.25,0.982944144856473,78704,Entire home/apt,10,100.0
748484833558134252,138.0,136.5,160.5,174.0,37.5,25,4,low,True,0.0,0.5221040291977146,78701,Entire home/apt,2,94.6
889497512178483522,93.0,119.0,119.0,119.0,0.0,25,1,low,False,26.0,0.7160219564733719,78704,Entire home/apt,6,100.0
588182935563100073,81.0,63.75,67.5,71.25,7.5,25,2,low,False,9.75,1.8416391323527217,78749,Entire home/apt,3,40.4
1025648657519844728,188.0,182.25,184.5,186.75,4.5,25,2,low,False,1.25,0.7842634685540659,78721,Entire home/apt,6,46.1
1415264885357466540,62.0,73.0,73.0,73.0,0.0,25,1,low,False,11.0,1.4795071208055992,78752,Entire home/apt,2,49.3
904164883758994655,111.0,83.0,89.0,99.5,16.5,25,3,low,False,11.5,0.7488461937587758,78751,Entire home/apt,4,73.7
35315550,64.0,45.0,45.0,45.0,0.0,25,1,low,False,19.0,0.7682112984528401,78702,Entire home/apt,2,93.2
1197913908386718407,128.0,88.5,144.0,221.0,132.5,25,0,very_low_fallback,True,0.0,0.8633825814100285,78702,Entire home/apt,6,93.2
