feature,importance
minimum_nights,0.07325017
walkability_score,0.034380436
room_type_encoded,0.034236293
convenience_score,0.0333374
family_friendly_score,0.031549145
price_clean,0.030680787
host_listings_count,0.030247157
sentiment_mean,0.029522685
reviews_per_month,0.029120484
neighbourhood_encoded,0.028661115
charm_score,0.028395398
local_authentic_score,0.028307155
epsilon_price,0.028243529
property_type_encoded,0.02815193
is_superhost,0.028136523
price_per_person,0.027756164
amenities_count,0.02764087
liveliness_score,0.027451787
review_scores_value,0.026642928
food_scene_score,0.02651032
safety_score,0.026249824
nightlife_score,0.025660016
vibe_score,0.02543172
listing_age_days,0.025210224
number_of_reviews,0.024533818
host_identity_verified,0.024458267
longitude,0.02315216
latitude,0.022978634
review_scores_cleanliness,0.022672577
has_reviews,0.022648217
review_scores_location,0.021522896
review_scores_rating,0.021516828
instant_bookable,0.019311547
bathrooms_final,0.017249983
bedrooms,0.016037304
beds,0.015918141
accommodates,0.013225501
