Column,Dtype,Non-Null,Null_Pct,Unique
id,int64,15187,0.0,15187
listing_url,object,15187,0.0,15187
scrape_id,int64,15187,0.0,1
last_scraped,object,15187,0.0,2
source,object,15187,0.0,2
name,object,15187,0.0,14826
description,object,14840,2.3,13245
neighborhood_overview,object,7914,47.9,6332
picture_url,object,15186,0.0,14750
host_id,int64,15187,0.0,8877
host_url,object,15187,0.0,8877
host_name,object,15185,0.0,3566
host_since,object,15185,0.0,3881
host_location,object,12620,16.9,527
host_about,object,9351,38.4,4790
host_response_time,object,10868,28.4,4
host_response_rate,object,10868,28.4,43
host_acceptance_rate,object,11688,23.0,96
host_is_superhost,object,14709,3.1,2
host_thumbnail_url,object,15185,0.0,8701
host_picture_url,object,15185,0.0,8701
host_neighbourhood,object,13558,10.7,733
host_listings_count,float64,15185,0.0,155
host_total_listings_count,float64,15185,0.0,192
host_verifications,object,15185,0.0,8
host_has_profile_pic,object,15185,0.0,2
host_identity_verified,object,15185,0.0,2
neighbourhood,object,7914,47.9,1
neighbourhood_cleansed,int64,15187,0.0,44
neighbourhood_group_cleansed,float64,0,100.0,0
latitude,float64,15187,0.0,12078
longitude,float64,15187,0.0,11773
property_type,object,15187,0.0,68
room_type,object,15187,0.0,4
accommodates,int64,15187,0.0,16
bathrooms,float64,10714,29.5,24
bathrooms_text,object,15173,0.1,35
bedrooms,float64,14248,6.2,17
beds,float64,10696,29.6,32
amenities,object,15187,0.0,13936
price,object,10708,29.5,992
minimum_nights,int64,15187,0.0,73
maximum_nights,int64,15187,0.0,167
minimum_minimum_nights,int64,15187,0.0,73
maximum_minimum_nights,int64,15187,0.0,83
minimum_maximum_nights,int64,15187,0.0,149
maximum_maximum_nights,int64,15187,0.0,167
minimum_nights_avg_ntm,float64,15187,0.0,313
maximum_nights_avg_ntm,float64,15187,0.0,574
calendar_updated,float64,0,100.0,0
has_availability,object,13856,8.8,1
availability_30,int64,15187,0.0,31
availability_60,int64,15187,0.0,61
availability_90,int64,15187,0.0,91
availability_365,int64,15187,0.0,366
calendar_last_scraped,object,15187,0.0,2
number_of_reviews,int64,15187,0.0,531
number_of_reviews_ltm,int64,15187,0.0,129
number_of_reviews_l30d,int64,15187,0.0,20
availability_eoy,int64,15187,0.0,203
number_of_reviews_ly,int64,15187,0.0,130
estimated_occupancy_l365d,int64,15187,0.0,80
estimated_revenue_l365d,float64,10708,29.5,3419
first_review,object,12276,19.2,2997
last_review,object,12276,19.2,1639
review_scores_rating,float64,12276,19.2,124
review_scores_accuracy,float64,12276,19.2,120
review_scores_cleanliness,float64,12276,19.2,137
review_scores_checkin,float64,12275,19.2,107
review_scores_communication,float64,12276,19.2,111
review_scores_location,float64,12274,19.2,134
review_scores_value,float64,12274,19.2,132
license,float64,0,100.0,0
instant_bookable,object,15187,0.0,2
calculated_host_listings_count,int64,15187,0.0,48
calculated_host_listings_count_entire_homes,int64,15187,0.0,44
calculated_host_listings_count_private_rooms,int64,15187,0.0,21
calculated_host_listings_count_shared_rooms,int64,15187,0.0,4
reviews_per_month,float64,12276,19.2,783
price_clean,float64,10708,29.5,992
occ_30,float64,15187,0.0,31
occ_60,float64,15187,0.0,61
occ_90,float64,15187,0.0,91
occ_365,float64,15187,0.0,366
high_demand_90,int64,15187,0.0,2
