neighbourhood,vibe_score,review_count,walkability_score,safety_score,nightlife_score,quietness_score,family_friendly_score,local_authentic_score,convenience_score,food_scene_score,liveliness_score,charm_score
Kensington and Chelsea,83.3,6877,10.0,10.0,8.484848484848484,4.545454545454545,8.181818181818182,5.757575757575758,10.0,9.696969696969697,7.878787878787879,5.757575757575758
Wandsworth,77.8,4417,6.666666666666666,8.181818181818182,9.09090909090909,5.454545454545454,7.272727272727273,7.575757575757576,7.575757575757576,7.272727272727273,6.0606060606060606,8.484848484848484
Hackney,75.0,6184,5.757575757575758,2.121212121212121,10.0,2.727272727272727,0.9090909090909092,6.0606060606060606,8.181818181818182,9.393939393939394,10.0,7.575757575757576
Richmond upon Thames,74.0,1714,9.393939393939394,4.242424242424242,9.393939393939394,9.696969696969697,9.09090909090909,10.0,9.393939393939394,10.0,6.363636363636363,10.0
Hammersmith and Fulham,72.6,4613,8.787878787878787,9.393939393939394,8.787878787878787,6.0606060606060606,5.151515151515151,6.666666666666666,9.696969696969697,7.575757575757576,3.9393939393939394,6.0606060606060606
Haringey,63.0,2573,3.333333333333333,3.333333333333333,3.0303030303030303,7.575757575757576,6.363636363636363,4.545454545454545,5.151515151515151,5.757575757575758,6.969696969696971,8.787878787878787
Islington,59.8,6006,8.181818181818182,3.0303030303030303,9.696969696969697,7.878787878787879,2.4242424242424243,7.272727272727273,8.787878787878787,8.787878787878787,9.393939393939394,4.242424242424242
Greenwich,59.1,1955,7.272727272727273,5.454545454545454,5.757575757575758,4.848484848484849,3.0303030303030303,4.848484848484849,4.242424242424242,5.454545454545454,3.333333333333333,8.181818181818182
Westminster,57.3,13803,9.696969696969697,8.484848484848484,6.969696969696971,2.4242424242424243,4.545454545454545,6.363636363636363,9.09090909090909,8.484848484848484,9.09090909090909,0.9090909090909092
Southwark,50.8,6423,7.575757575757576,6.666666666666666,8.181818181818182,1.8181818181818183,3.9393939393939394,6.969696969696971,6.969696969696971,4.848484848484849,7.575757575757576,2.727272727272727
