feature,importance
is_superhost,0.12376901
minimum_nights,0.09512751
host_identity_verified,0.06591265
property_type_encoded,0.043785557
instant_bookable,0.040173344
host_listings_count,0.037670426
room_type_encoded,0.03393337
nightlife_score,0.031794783
price_clean,0.028368032
food_scene_score,0.027967071
reviews_per_month,0.027255278
amenities_count,0.026677014
longitude,0.02508825
local_authentic_score,0.023215478
convenience_score,0.022995463
price_per_person,0.022488259
walkability_score,0.021547733
latitude,0.019813463
epsilon_price,0.0196683
liveliness_score,0.019083029
safety_score,0.018495595
review_scores_value,0.018333143
charm_score,0.017964516
sentiment_mean,0.017668657
family_friendly_score,0.01723899
review_scores_location,0.016782433
listing_age_days,0.016404808
review_scores_rating,0.015559062
vibe_score,0.01514358
number_of_reviews,0.015070315
neighbourhood_encoded,0.014808245
bathrooms_final,0.0142958835
review_scores_cleanliness,0.014115708
beds,0.011389314
bedrooms,0.010818932
accommodates,0.009576785
has_reviews,0.0
