column,dtype,non_null_count,null_pct,unique_values,mean,std,min,max
id,int64,36111,0.0,16,2.7332391791974744,1.866399636976895,1.0,16.0
occ_90,int64,36111,0.0,89,25.997036913959736,15.003018881063555,0.0,91.0
high_demand_90,float64,36111,0.0,217,48.908108039623194,5.222996230193127,6.0,94.0
property_type,float64,36111,0.0,19,1.1697128298856305,0.49928403244850766,0.0,15.5
room_type,float64,36111,0.0,15,1.3224225305308632,0.8753847036097999,0.0,16.0
accommodates,float64,36111,0.0,19,1.3725457616792667,0.9861564891566426,0.0,40.0
bedrooms,float64,36111,0.0,198,5.0164477165827694,2.5259339505586302,0.0507614213197969,10.0
bathrooms_final,float64,36111,0.0,204,6.473289605871613,2.0181750801682563,0.1682692307692307,10.0
beds,float64,36111,0.0,178,3.854113861808122,1.8756139817593813,0.053763440860215,10.0
amenities_count,float64,36111,0.0,214,6.2400526314290365,2.0811349632794136,0.0467289719626168,10.0
neighbourhood,int64,36111,0.0,2,0.6901775082384869,0.4624266829003451,0.0,1.0
latitude,int64,36111,0.0,2,0.49915538201656007,0.5000062098520914,0.0,1.0
longitude,int64,36111,0.0,2,0.8337348730303785,0.3723236137795404,0.0,1.0
host_listings_count,float64,36111,0.0,117,108.66890975049154,583.0979610367276,1.0,5478.0
is_superhost,int64,36111,0.0,36111,4.667906253676794e+17,5.448721148131625e+17,2595.0,1.5218483679634982e+18
host_identity_verified,int64,36111,0.0,2,0.20810833264102352,0.4059603654773276,0.0,1.0
number_of_reviews,int64,36111,0.0,2,0.1992190745202293,0.3994186435063265,0.0,1.0
reviews_per_month,float64,36111,0.0,22336,40.728253469250184,0.0562693102794468,40.5003663,40.912016503779405
review_scores_rating,float64,24923,30.98,4491,1919.0914015166713,1258.3529303558598,1.0,5974.0
review_scores_accuracy,float64,36111,0.0,131,5.733835029660801,2.1016402400160987,0.0769230769230769,10.0
review_scores_cleanliness,float64,36111,0.0,144,6.39645704135276,2.0801278706918196,0.0617283950617283,10.0
review_scores_checkin,float64,36111,0.0,20236,-73.94735044379114,0.05499451522811298,-74.251907,-73.71182221830068
review_scores_communication,int64,36111,0.0,106,28.61009110797264,29.166475675296244,1.0,1124.0
review_scores_location,object,36111,0.0,224,,,,
review_scores_value,float64,36111,0.0,156,6.303745876352337,2.264187317975501,0.059171597633136,10.0
instant_bookable,int64,36111,0.0,511,27.321231757636177,70.3086839699362,0.0,3736.0
minimum_nights,float64,36111,0.0,91,0.6069720214523737,0.41036646741879196,0.0,1.0
listing_age_days,float64,21328,40.94,1150,680.5268192048012,4480.453282468837,10.0,50104.0
has_reviews,float64,21328,40.94,2401,241.62044828686567,1752.2422292609508,3.2666666666666666,50000.0
price_per_person,object,36111,0.0,74,,,,
price_clean,float64,36111,0.0,204,3.755179851891114,2.013467587366531,0.0485436893203883,10.0
vibe_score,float64,36111,0.0,163,2548.0850162054353,2495.7714246835803,1.0,9513.0
sentiment_mean,float64,36111,0.0,175,4.800396001218465,0.3780657233117609,0.0,5.0
sentiment_std,float64,36111,0.0,152,4.87111918805904,0.3251987843180256,0.0,5.0
subjectivity,float64,36111,0.0,214,4.7001253080778715,0.4308822284811147,0.0,5.0
review_count,float64,36111,0.0,159,4.863150840464124,0.3603385146254268,0.0,5.0
avg_review_length,float64,36111,0.0,189,4.779308105563401,0.34371585177753194,0.0,5.0
walkability_score,float64,36111,0.0,184,4.759813214809891,0.3902964638461066,0.0,5.0
safety_score,float64,36111,0.0,191,4.666725789925508,0.4238225417623445,0.0,5.0
nightlife_score,float64,36111,0.0,811,0.5667586054110936,1.6364971363171656,0.0,122.76
quietness_score,object,36111,0.0,4,,,,
family_friendly_score,float64,36111,0.0,192,4.591706952222851,2.103745943716128,0.0523560209424083,10.0
local_authentic_score,float64,36111,0.0,217,0.3767937579223333,0.02374829718059173,0.2633173843700159,0.65
convenience_score,float64,36111,0.0,213,0.2233876999259585,0.018587403059457167,0.0212132034355964,0.3464582706955245
food_scene_score,float64,36111,0.0,218,0.5819218186279131,0.02484815257881151,0.4865005878894768,0.91
liveliness_score,float64,36111,0.0,104,68.11233292476507,17.35473891589023,10.9,100.0
charm_score,float64,36111,0.0,196,5.8443416695877675,1.932922852221457,0.0497512437810945,10.0
