Column,Dtype,Non-Null,Null_Pct,Unique
id,int64,36111,0.0,36111
listing_url,object,36111,0.0,36111
scrape_id,int64,36111,0.0,1
last_scraped,object,36111,0.0,2
source,object,36111,0.0,2
name,object,36109,0.0,34446
description,object,35153,2.7,29846
neighborhood_overview,object,18704,48.2,13989
picture_url,object,36111,0.0,35367
host_id,int64,36111,0.0,21382
host_url,object,36111,0.0,21382
host_name,object,34945,3.2,8296
host_since,object,34944,3.2,5176
host_location,object,27411,24.1,981
host_about,object,19615,45.7,11252
host_response_time,object,20337,43.7,4
host_response_rate,object,20337,43.7,70
host_acceptance_rate,object,20516,43.2,97
host_is_superhost,object,35727,1.1,2
host_thumbnail_url,object,34944,3.2,20795
host_picture_url,object,34944,3.2,20795
host_neighbourhood,object,27627,23.5,523
host_listings_count,float64,34944,3.2,117
host_total_listings_count,float64,34944,3.2,154
host_verifications,object,34944,3.2,7
host_has_profile_pic,object,34944,3.2,2
host_identity_verified,object,34944,3.2,2
neighbourhood,object,18705,48.2,1
neighbourhood_cleansed,object,36111,0.0,224
neighbourhood_group_cleansed,object,36111,0.0,5
latitude,float64,36111,0.0,22336
longitude,float64,36111,0.0,20236
property_type,object,36111,0.0,74
room_type,object,36111,0.0,4
accommodates,int64,36111,0.0,16
bathrooms,float64,21700,39.9,19
bathrooms_text,object,35997,0.3,32
bedrooms,float64,30162,16.5,15
beds,float64,21643,40.1,19
amenities,object,36111,0.0,29271
price,object,21328,40.9,1150
minimum_nights,int64,36111,0.0,106
maximum_nights,int64,36111,0.0,256
minimum_minimum_nights,float64,36099,0.0,113
maximum_minimum_nights,float64,36099,0.0,129
minimum_maximum_nights,float64,36099,0.0,237
maximum_maximum_nights,float64,36099,0.0,235
minimum_nights_avg_ntm,float64,36111,0.0,363
maximum_nights_avg_ntm,float64,36111,0.0,863
calendar_updated,float64,0,100.0,0
has_availability,object,30446,15.7,1
availability_30,int64,36111,0.0,31
availability_60,int64,36111,0.0,61
availability_90,int64,36111,0.0,91
availability_365,int64,36111,0.0,366
calendar_last_scraped,object,36111,0.0,2
number_of_reviews,int64,36111,0.0,511
number_of_reviews_ltm,int64,36111,0.0,173
number_of_reviews_l30d,int64,36111,0.0,34
availability_eoy,int64,36111,0.0,93
number_of_reviews_ly,int64,36111,0.0,172
estimated_occupancy_l365d,int64,36111,0.0,59
estimated_revenue_l365d,float64,21328,40.9,2444
first_review,object,24923,31.0,4491
last_review,object,24923,31.0,3400
review_scores_rating,float64,24923,31.0,158
review_scores_accuracy,float64,24913,31.0,151
review_scores_cleanliness,float64,24922,31.0,182
review_scores_checkin,float64,24909,31.0,134
review_scores_communication,float64,24917,31.0,142
review_scores_location,float64,24907,31.0,151
review_scores_value,float64,24907,31.0,163
license,object,5376,85.1,1962
instant_bookable,object,36111,0.0,2
calculated_host_listings_count,int64,36111,0.0,67
calculated_host_listings_count_entire_homes,int64,36111,0.0,49
calculated_host_listings_count_private_rooms,int64,36111,0.0,40
calculated_host_listings_count_shared_rooms,int64,36111,0.0,9
reviews_per_month,float64,24923,31.0,810
price_clean,float64,21328,40.9,1150
occ_30,float64,36111,0.0,31
occ_60,float64,36111,0.0,61
occ_90,float64,36111,0.0,91
occ_365,float64,36111,0.0,366
high_demand_90,int64,36111,0.0,2
