neighbourhood,vibe_score,review_count,walkability_score,safety_score,nightlife_score,quietness_score,family_friendly_score,local_authentic_score,convenience_score,food_scene_score,liveliness_score,charm_score
Brooklyn Heights,100.0,170,9.00497512437811,6.544502617801047,8.520710059171599,6.990291262135923,5.483870967741935,8.950617283950617,9.903846153846153,9.719626168224298,4.615384615384616,8.121827411167512
Cobble Hill,100.0,217,9.203980099502488,2.4607329842931938,8.816568047337277,8.398058252427184,7.043010752688172,2.5308641975308643,9.230769230769232,9.439252336448599,3.076923076923077,9.34010152284264
Carroll Gardens,100.0,629,8.009950248756219,4.973821989528796,9.230769230769232,7.669902912621359,8.602150537634408,7.839506172839506,9.711538461538462,9.25233644859813,9.153846153846153,9.49238578680203
Park Slope,100.0,1579,7.910447761194029,4.50261780104712,7.27810650887574,6.067961165048543,8.064516129032258,7.160493827160494,8.942307692307693,8.925233644859814,8.23076923076923,9.441624365482234
Prospect Heights,100.0,805,7.711442786069652,2.8272251308900525,9.112426035502958,5.970873786407767,6.666666666666666,6.296296296296297,9.375,9.392523364485982,7.615384615384615,9.137055837563452
Boerum Hill,99.9,498,7.6616915422885565,2.5654450261780104,8.934911242603551,6.553398058252427,5.698924731182796,9.19753086419753,8.990384615384615,8.457943925233645,8.923076923076923,8.934010152284264
Fort Greene,99.8,889,7.860696517412935,3.87434554973822,8.698224852071005,6.747572815533981,5.0,9.135802469135802,9.471153846153847,8.644859813084112,5.0,9.086294416243653
Clinton Hill,99.4,1174,8.159203980099502,5.2356020942408374,8.757396449704142,6.262135922330097,4.139784946236559,8.703703703703704,9.182692307692307,8.504672897196262,5.461538461538461,8.578680203045685
West Village,96.8,814,8.507462686567164,3.403141361256545,9.644970414201184,7.087378640776699,2.258064516129032,8.024691358024691,6.009615384615384,9.345794392523365,9.461538461538462,8.375634517766496
Greenpoint,96.6,1254,8.308457711442786,3.4554973821989527,9.585798816568047,6.407766990291263,4.462365591397849,5.802469135802469,7.644230769230768,9.299065420560748,7.3076923076923075,8.274111675126903
DUMBO,96.0,194,7.213930348258707,3.6125654450261777,6.982248520710059,1.6990291262135924,8.763440860215054,9.506172839506172,5.625,9.018691588785048,5.230769230769231,8.730964467005077
South Slope,95.7,574,8.208955223880597,2.879581151832461,8.34319526627219,6.601941747572816,8.655913978494624,4.8765432098765435,9.663461538461538,8.738317757009346,6.076923076923077,9.187817258883248
Williamsburg,94.7,4742,7.412935323383084,3.193717277486911,9.70414201183432,3.3980582524271847,2.5268817204301075,8.271604938271604,8.365384615384615,9.158878504672897,7.0,7.309644670050761
Windsor Terrace,94.5,320,8.955223880597016,5.026178010471204,6.094674556213018,7.815533980582524,8.870967741935484,8.518518518518519,9.759615384615385,7.897196261682243,4.076923076923077,7.969543147208121
Greenwich Village,94.0,244,9.402985074626866,2.3036649214659684,9.763313609467456,4.660194174757281,1.021505376344086,7.962962962962963,7.115384615384616,9.57943925233645,9.230769230769232,4.467005076142132
Nolita,90.5,303,7.512437810945274,1.361256544502618,9.053254437869821,2.1844660194174756,1.075268817204301,5.493827160493828,7.259615384615384,9.672897196261683,6.76923076923077,5.786802030456853
Downtown Brooklyn,89.0,187,9.253731343283583,3.141361256544503,7.988165680473372,0.7766990291262135,0.8064516129032258,8.827160493827162,8.557692307692307,7.850467289719626,7.384615384615385,8.17258883248731
Rockaway Beach,87.5,238,8.606965174129353,0.2094240837696335,9.289940828402367,5.145631067961165,5.806451612903226,3.580246913580247,7.355769230769232,8.22429906542056,0.6923076923076923,8.629441624365482
Morris Park,86.5,122,9.35323383084577,9.319371727748692,1.5384615384615385,8.252427184466018,2.7956989247311825,9.62962962962963,7.451923076923077,7.242990654205608,2.6153846153846154,4.974619289340102
Bayside,83.8,169,8.656716417910447,5.549738219895288,4.733727810650887,4.466019417475728,7.634408602150538,6.234567901234568,3.8461538461538463,7.4766355140186915,1.153846153846154,5.888324873096447
Rego Park,83.6,170,5.17412935323383,8.429319371727749,3.668639053254438,5.0,5.43010752688172,2.839506172839506,7.596153846153846,4.719626168224299,3.0,1.7258883248730963
East Village,83.3,2395,5.970149253731343,2.0418848167539267,9.822485207100591,2.2815533980582527,1.3978494623655913,9.074074074074074,6.25,8.83177570093458,9.076923076923077,6.091370558375635
Gowanus,83.3,678,9.054726368159203,4.607329842931937,7.337278106508876,5.29126213592233,7.204301075268818,8.45679012345679,9.278846153846153,7.336448598130842,7.153846153846154,8.02030456852792
Flatbush,82.8,1374,6.368159203980099,6.387434554973822,4.911242603550296,4.951456310679612,5.32258064516129,7.4074074074074066,8.701923076923077,4.4392523364485985,6.692307692307692,8.527918781725889
Prospect-Lefferts Gardens,82.0,1247,5.671641791044776,5.9162303664921465,4.615384615384616,4.3203883495145625,6.129032258064516,8.395061728395062,8.461538461538462,6.5420560747663545,8.461538461538462,7.614213197969542
Sheepshead Bay,81.9,425,5.7711442786069655,6.80628272251309,4.378698224852071,4.611650485436893,6.720430107526881,5.864197530864198,6.201923076923077,5.4672897196261685,0.7692307692307693,4.517766497461929
Morningside Heights,80.6,209,6.766169154228856,8.010471204188482,9.171597633136095,7.281553398058253,0.913978494623656,2.4074074074074074,8.605769230769232,5.5607476635514015,1.3076923076923077,0.7106598984771574
Ditmars Steinway,80.0,773,7.611940298507463,8.272251308900524,7.514792899408284,7.038834951456311,5.591397849462365,5.123456790123457,7.548076923076923,6.682242990654206,5.384615384615384,5.279187817258883
Ridgewood,79.6,552,6.865671641791044,7.696335078534031,7.928994082840237,5.922330097087379,2.3655913978494625,3.7037037037037033,7.9326923076923075,7.289719626168224,5.692307692307692,4.873096446700508
Murray Hill,78.5,506,7.960199004975125,3.821989528795812,4.437869822485207,4.126213592233009,3.924731182795699,7.901234567901234,5.961538461538462,8.037383177570094,7.769230769230769,5.736040609137056
Arverne,78.1,344,8.35820895522388,0.8900523560209423,3.905325443786982,4.757281553398059,8.333333333333334,8.765432098765432,6.490384615384616,5.607476635514018,1.9230769230769231,8.324873096446701
Columbia St,77.2,112,9.601990049751244,4.816753926701571,7.7514792899408285,3.9805825242718447,9.301075268817204,5.679012345679012,6.0576923076923075,9.205607476635514,3.3076923076923075,9.289340101522843
Bedford-Stuyvesant,75.4,9513,5.621890547263682,4.712041884816754,7.100591715976331,3.155339805825243,4.408602150537634,8.086419753086421,6.394230769230768,5.700934579439252,5.769230769230768,7.66497461928934
Bushwick,75.0,3270,3.8805970149253732,4.2408376963350785,8.639053254437869,2.475728155339806,3.333333333333333,7.283950617283951,6.971153846153846,6.775700934579439,7.6923076923076925,5.32994923857868
Crown Heights,74.3,3483,5.920398009950248,4.031413612565445,7.633136094674557,4.41747572815534,5.21505376344086,6.91358024691358,7.884615384615384,6.4953271028037385,6.230769230769231,7.157360406091371
Kips Bay,73.8,506,6.616915422885572,6.649214659685864,7.8698224852071,1.796116504854369,1.1827956989247312,6.049382716049383,7.0673076923076925,8.411214953271028,3.6153846153846154,3.0456852791878175
SoHo,73.6,734,6.119402985074627,1.4136125654450262,6.745562130177515,2.7184466019417473,2.956989247311828,5.0,4.951923076923077,7.663551401869158,8.615384615384617,6.700507614213198
Midwood,73.3,224,4.228855721393035,9.00523560209424,5.384615384615384,7.524271844660194,1.5591397849462365,6.481481481481481,5.384615384615384,2.850467289719626,2.4615384615384617,5.177664974619289
Forest Hills,72.6,203,8.706467661691542,9.109947643979057,8.224852071005916,4.854368932038835,4.78494623655914,6.172839506172839,7.403846153846154,5.14018691588785,0.38461538461538464,6.1421319796954315
Upper East Side,72.1,1668,6.218905472636815,8.219895287958115,6.923076923076923,4.805825242718447,3.548387096774194,6.5432098765432105,6.778846153846154,6.915887850467289,5.538461538461538,4.2639593908629445
Bay Ridge,71.8,243,5.3731343283582085,8.638743455497382,6.508875739644971,3.883495145631068,4.838709677419355,3.6419753086419755,6.6826923076923075,6.214953271028038,8.153846153846153,4.213197969543147
Upper West Side,71.7,2255,6.069651741293533,6.178010471204188,6.390532544378699,5.485436893203883,6.290322580645161,7.716049382716049,8.221153846153847,7.4299065420560755,7.461538461538462,7.208121827411168
Lower East Side,69.8,1891,6.666666666666666,1.7277486910994764,9.408284023668639,2.5728155339805827,1.2365591397849462,5.246913580246914,5.673076923076923,8.271028037383179,7.538461538461538,3.401015228426396
Fort Hamilton,69.5,364,6.467661691542289,7.068062827225131,5.147928994082839,4.077669902912621,1.5053763440860215,4.2592592592592595,4.615384615384616,5.794392523364485,1.3846153846153846,3.1472081218274113
NoHo,69.0,99,9.65174129353234,3.6649214659685865,9.467455621301774,2.9611650485436893,6.989247311827958,9.567901234567902,9.567307692307693,9.485981308411215,1.6153846153846154,4.771573604060913
Bensonhurst,68.4,177,2.189054726368159,8.324607329842932,5.029585798816568,1.0679611650485437,2.096774193548387,4.320987654320987,9.134615384615385,2.803738317757009,5.076923076923077,2.33502538071066
Sunset Park,68.0,1096,5.422885572139303,5.287958115183246,5.207100591715976,3.2038834951456314,4.301075268817204,5.617283950617285,7.019230769230768,5.373831775700935,6.0,6.2944162436548226
Gramercy,67.1,629,5.323383084577115,8.06282722513089,7.159763313609467,3.300970873786408,0.7526881720430108,4.567901234567901,6.538461538461538,8.317757009345794,6.538461538461538,1.8781725888324874
Astoria,66.3,1985,6.567164179104478,7.486910994764397,7.218934911242604,4.368932038834951,3.010752688172043,6.604938271604938,8.75,5.934579439252337,5.846153846153847,3.50253807106599
Roosevelt Island,66.1,137,4.875621890547263,7.277486910994765,4.792899408284024,9.271844660194175,3.978494623655914,0.6790123456790123,3.2211538461538463,4.345794392523365,2.153846153846154,7.411167512690355
Financial District,65.3,1574,3.6815920398009947,1.1518324607329842,4.023668639053255,0.4854368932038835,2.204301075268817,2.3456790123456788,3.701923076923077,7.383177570093458,3.8461538461538463,4.822335025380711
Borough Park,64.3,178,2.7363184079601988,8.37696335078534,0.650887573964497,2.233009708737864,5.376344086021505,6.9753086419753085,8.653846153846153,7.616822429906542,3.230769230769231,0.8629441624365481
Flushing,64.2,1254,7.064676616915423,6.282722513089006,3.3136094674556213,5.242718446601941,4.89247311827957,4.814814814814815,4.903846153846153,5.093457943925234,2.076923076923077,1.6751269035532994
Red Hook,64.1,161,1.8407960199004973,0.3664921465968586,6.272189349112426,8.592233009708737,3.709677419354839,9.382716049382715,3.4615384615384617,7.990654205607477,5.923076923076923,9.035532994923859
Canarsie,64.1,1237,2.1393034825870645,4.345549738219895,3.78698224852071,7.961165048543689,6.344086021505376,3.333333333333333,1.25,3.2242990654205608,0.6153846153846154,7.00507614213198
Rosedale,63.6,403,1.9402985074626866,4.554973821989528,1.1834319526627217,7.378640776699029,7.580645161290322,3.5185185185185186,1.6346153846153846,2.7570093457943923,1.076923076923077,4.619289340101523
Concourse,61.8,318,4.975124378109453,5.0785340314136125,5.798816568047337,5.048543689320388,1.2903225806451613,8.88888888888889,8.509615384615385,3.7850467289719623,4.153846153846154,3.9086294416243654
Richmond Hill,61.0,315,6.169154228855721,7.905759162303665,2.781065088757396,3.9320388349514563,7.473118279569892,5.987654320987654,5.576923076923077,3.5046728971962615,4.769230769230769,2.6903553299492384
Wakefield,60.6,170,3.9800995024875623,3.507853403141361,2.307692307692308,5.388349514563107,7.741935483870968,4.0740740740740735,6.298076923076923,4.766355140186916,4.0,5.431472081218274
Sunnyside,60.5,753,5.27363184079602,8.167539267015707,4.1420118343195265,7.572815533980583,2.6881720430107525,4.753086419753086,8.798076923076923,4.859813084112149,2.692307692307692,1.8274111675126903
East Flatbush,60.5,1670,2.6865671641791042,5.759162303664922,5.739644970414202,4.5631067961165055,5.053763440860215,3.888888888888889,3.557692307692308,3.5514018691588785,4.461538461538462,5.837563451776649
