neighbourhood,vibe_score,sentiment_mean,sentiment_std,subjectivity,review_count,avg_review_length,walkability_score,safety_score,nightlife_score,quietness_score,family_friendly_score,local_authentic_score,convenience_score,food_scene_score,liveliness_score,charm_score
Allerton,,0.3779807579531529,0.20926362193040066,0.6134749005824407,194,43.59278350515464,3.781094527363184,7.329842931937173,0.1775147928994083,1.553398058252427,8.118279569892472,8.148148148148147,5.048076923076923,4.485981308411215,,3.604060913705584
Arden Heights,,0.45846119929453266,0.2994255764534914,0.6950330687830688,9,42.0,,,,0.5339805825242718,,,,9.813084112149532,,
Arrochar,,0.3861972482487474,0.24533042046340092,0.637791835732733,61,32.0,5.4726368159203975,8.952879581151832,1.7751479289940828,8.980582524271846,7.258064516129032,,2.8365384615384617,6.261682242990654,,1.4720812182741116
Arverne,78.1,0.389763933489778,0.20523802619327425,0.6166016259324318,344,53.10755813953488,8.35820895522388,0.8900523560209423,3.905325443786982,4.757281553398059,8.333333333333334,8.765432098765432,6.490384615384616,5.607476635514018,1.9230769230769231,8.324873096446701
Astoria,66.3,0.35947508092440844,0.22121680442029756,0.5706934990500658,1985,52.0816120906801,6.567164179104478,7.486910994764397,7.218934911242604,4.368932038834951,3.010752688172043,6.604938271604938,8.75,5.934579439252337,5.846153846153847,3.50253807106599
Bath Beach,48.8,0.40425623541329364,0.2111142013108622,0.6122457346954157,116,32.85344827586207,3.6318407960199006,1.256544502617801,4.201183431952662,9.223300970873787,8.225806451612904,0.6790123456790123,1.0096153846153846,1.4018691588785046,3.1538461538461537,6.5482233502538065
Battery Park City,54.6,0.3822313272310837,0.26647316594350456,0.5746511322786606,179,41.5195530726257,4.925373134328358,0.2617801047120419,6.331360946745562,1.941747572815534,1.6666666666666665,1.8518518518518516,4.855769230769231,7.5233644859813085,5.615384615384615,3.350253807106599
Bay Ridge,71.8,0.37115895008730804,0.20257077472210894,0.5639514700987914,243,44.63374485596708,5.3731343283582085,8.638743455497382,6.508875739644971,3.883495145631068,4.838709677419355,3.6419753086419755,6.6826923076923075,6.214953271028038,8.153846153846153,4.213197969543147
Bay Terrace,,0.4579615468595732,0.24744296982447467,0.6616157106782107,22,33.86363636363637,7.462686567164179,9.05759162303665,7.6923076923076925,3.2524271844660197,7.150537634408602,,6.4423076923076925,9.766355140186917,,0.15228426395939088
Baychester,,0.41094616843730375,0.19314770926189267,0.6068654937701654,54,37.25925925925926,4.6268656716417915,5.392670157068062,0.650887573964497,8.737864077669903,0.4301075268817205,6.358024691358025,1.5384615384615385,6.588785046728972,,2.1319796954314723
Bayside,83.8,0.4028197946473808,0.22622408708351305,0.6075127783338035,169,40.5207100591716,8.656716417910447,5.549738219895288,4.733727810650887,4.466019417475728,7.634408602150538,6.234567901234568,3.8461538461538463,7.4766355140186915,1.153846153846154,5.888324873096447
Bayswater,,0.40391456815976046,0.25927553301924106,0.5980924704450346,39,40.12820512820513,0.09950248756218905,5.968586387434555,,8.20388349514563,9.78494623655914,,5.865384615384616,1.822429906542056,,9.746192893401016
Bedford-Stuyvesant,75.4,0.38173139205038115,0.21969171976554816,0.592158375398143,9513,50.161253022180176,5.621890547263682,4.712041884816754,7.100591715976331,3.155339805825243,4.408602150537634,8.086419753086421,6.394230769230768,5.700934579439252,5.769230769230768,7.66497461928934
Belle Harbor,,0.4484322598697599,0.23700309179870047,0.6800118793243792,26,29.615384615384617,9.502487562189055,2.6178010471204187,,9.466019417475728,,2.2839506172839505,5.480769230769232,6.308411214953271,,6.903553299492385
Bellerose,,0.38204903337702834,0.2083933194080386,0.5721217888990785,47,35.97872340425532,0.4228855721393035,1.5183246073298429,8.402366863905325,7.621359223300971,6.612903225806451,7.623456790123457,1.3942307692307692,6.728971962616822,,0.10152284263959391
Belmont,,0.32224717412217413,0.25555338535319094,0.5680627963306535,35,50.68571428571428,9.701492537313433,6.43979057591623,,0.09708737864077668,3.064516129032258,9.25925925925926,1.9230769230769231,1.6355140186915886,,1.9289340101522843
